state,votes,trump,other,clinton
Alabama,9,9,0,0
Alaska,3,3,0,0
Arizona,11,11,0,0
Arkansas,6,6,0,0
California,55,0,0,55
Colorado,9,0,0,9
Connecticut,7,0,0,7
Delaware,3,0,0,3
District of Columbia,3,0,0,3
Florida,29,29,0,0
Georgia,16,16,0,0
Hawaii*,4,0,0,3
Idaho,4,4,0,0
Illinois,20,0,0,20
Indiana,11,11,0,0
Iowa,6,6,0,0
Kansas,6,6,0,0
Kentucky,8,8,0,0
Louisiana,8,8,0,0
Maine,4,1,0,3
Maryland,10,0,0,10
Massachusetts,11,0,0,11
Michigan,16,16,0,0
Minnesota,10,0,0,10
Mississippi,6,6,0,0
Missouri,10,10,0,0
Montana,3,3,0,0
Nebraska,5,5,0,0
Nevada,6,0,0,6
New Hampshire,4,0,0,4
New Jersey,14,0,0,14
New Mexico,5,0,0,5
New York,29,0,0,29
North Carolina,15,15,0,0
North Dakota,3,3,0,0
Ohio,18,18,0,0
Oklahoma,7,7,0,0
Oregon,7,0,0,7
Pennsylvania,20,20,0,0
Rhode Island,4,0,0,4
South Carolina,9,9,0,0
South Dakota,3,3,0,0
Tennessee,11,11,0,0
Texas,38,36,2,0
Utah,6,6,0,0
Vermont,3,0,0,3
Virginia,13,0,0,13
Washington,12,0,0,8
West Virginia,5,5,0,0
Wisconsin,10,10,0,0
Wyoming,3,3,0,0
