		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	Change of Democratic Vote Share	Change of Democratic Vote Share	Change of Democratic Vote Share	Change of Democratic Vote Share	Change of Democratic Vote Share	Change of Democratic Vote Share
							
msl_w_pc4y2	White Manufacturing Layoffs				-0.234***	-0.145***	-0.151***
					(0.033)	(0.035)	(0.036)
msl_nw_pc4y2	Non-white Manufacturing Layoffs				0.185***	0.131***	0.132***
					(0.034)	(0.032)	(0.032)
msl_pc4y2	Manufacturing Layoffs	-0.066***	-0.044**	-0.043**			
		(0.019)	(0.018)	(0.019)			
							
Observations		3,068	3,066	3,065	2,767	2,766	2,765
R-squared		0.500	0.539	0.539	0.564	0.589	0.589
Unemployment Control		Yes	Yes	Yes	Yes	Yes	Yes
Demography Controls		Yes	Yes	Yes	Yes	Yes	Yes
White Population Share		No	Yes	Yes	No	Yes	Yes
Service Layoffs		No	No	Yes	No	No	Yes
State fixed effects		Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
